codigo,descripcion,kcal_100g
D066,Bombón helado,328.0
D064,Helado de agua (heladería),112.0
D019,Helado de agua (palito),82.0
D020,Helado de crema (heladería),213.0
D065,Helado de crema envasado,178.0
D068,Polvo para preparar helado,418.0
D100,"Ananá, enlatado (fruta y almíbar)",84.0
D114,Avellana,631.0
D005,Dulce de batata,255.0
D081,Dulce de batata light,164.0
D008,"Leche parcialmente descremada, sabor chocolate o dulce de leche, fortificada con vitaminas A y D, lista para consumir",67.0
D077,Dulce de leche light,287.0
D120,Mamón,38.0
D006,Pastelitos rellenos de dulce de membrillo o batata (panadería / confitería),404.0
D082,Dulce de membrillo light,160.0
D007,Jalea tipo membrillo,277.0
D027,Kero o melaza,300.0
D010,Mermelada de frutas,273.0
D025,Mermelada de frutas light,145.0
D011,"Cereal desayuno, aritos sabor miel",369.0
D099,Frutilla,31.0
D096,Dulce de leche,315.0
G017,"Chipaco o pan con chicharrón, comprado",340.0
G013,Crema de leche,347.0
G016,Crema light,299.0
G008,Grasa de cerdo,898.0
G019,Grasa de pollo,626.0
G009,Grasa vacuna,899.0
G010,Pan figacita de manteca,278.0
G015,Manteca light,509.0
G011,Margarina (en pote y en pan),559.0
G012,Margarina untable light,472.0
O013,Palitos aireados de harina de maíz o de colores,552.0
O014,Palitos salados,528.0
O015,Papas fritas de copetín,534.0
O043,Maní japonés,523.0
O028,Nachos,499.0
O041,Snacks saborizados salados a base de maíz,548.0
O022,Aceto balsámico,70.0
O021,Aderezo Caesar o Ranch,380.0
O045,Aderezo para ensaladas light,18.0
B069,"Jugo de limón, envasado",22.0
O005,Ketchup,113.0
O001,Mayonesa,391.0
O002,Mayonesa light,270.0
O003,Mayonesa de soja,212.0
O006,Mostaza,52.0
O035,"Salsa a base de tomate en tetra brick o sachet, lista para consumir (ej: pomarola, napolitana, con o sin verdeo, etc.)",42.0
O047,Salsa agridulce,154.0
O020,Salsa barbacoa,168.0
O049,Salsa blanca en polvo envasada,347.0
O051,Salsa chimichurri envasada,23.0
O046,"Salsa deshidratada varios sabores, polvo",349.0
O034,Salsa de soja,62.0
O004,Salsa Golf,320.0
O023,"Pickles, en vinagre",7.0
O007,Caldos en cubo,269.0
O039,Caldos en polvo,107.0
O008,Caldos en polvo light,171.0
O009,Caldos en polvo sin sal light,345.0
O011,Sopa crema preparada a partir de polvo premezcla light,23.0
O012,Sopa crema preparada a partir de polvo premezcla sin sal light,23.0
O024,Saborizador en cubos,366.0
O038,Saborizador en polvo,160.0
O029,"Sopa crema instantánea, polvo para preparar (sabores varios)",350.0
O036,"Sopa de vegetales instantánea, polvo para preparar",351.0
D103,Arroz con leche envasado listo para consumir,126.0
D022,"Gelatina light, preparada a partir de polvo",8.0
D021,Gelatina preparada a partir de polvo,14.0
D075,Polvo para preparar postre lácteo,369.0
D076,Polvo para preparar postre lácteo,369.0
D112,Limón,35.0
